p1_x,p1_y,p1_x_speed,p1_y_speed,p1_gravity,p1_dir,p1_left,p1_right,p1_up,p1_down,p1_a,p1_b,p1_c,p1_d,p1_ab,p1_bc,p1_comb,p1_hp,p1_spirit,p1_untech,p1_card,p2_x,p2_y,p2_x_speed,p2_y_speed,p2_gravity,p2_dir,p2_left,p2_right,p2_up,p2_down,p2_a,p2_b,p2_c,p2_d,p2_ab,p2_bc,p2_comb,p2_hp,p2_spirit,p2_untech,p2_card
923.6867065429688,0.0,-18.0,8.0,0.5,4294967041,False,False,False,False,0,0,0,0,0,0,0,9850,894,40,0,1101.443359375,284.440673828125,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
923.6867065429688,0.0,-18.0,8.0,0.5,4294967041,False,False,False,False,0,0,0,0,0,0,0,9704,894,39,0,1103.0634765625,284.5606994628906,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
923.6867065429688,0.0,-18.0,8.0,0.5,4294967041,False,False,False,True,0,0,0,0,0,0,0,9562,894,38,0,1104.1435546875,284.6407165527344,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
923.6867065429688,0.0,-18.0,8.0,0.5,4294967041,False,False,False,True,0,0,0,0,0,0,0,9423,894,37,0,1105.763671875,284.7607421875,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
923.6867065429688,0.0,-18.0,8.0,0.5,4294967041,False,False,False,True,0,1,0,0,0,0,0,9423,894,37,0,1105.763671875,284.7607421875,0.0,0.0,0.6000000238418579,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
923.6867065429688,0.0,-18.0,8.0,0.5,4294967041,False,False,False,True,0,4,0,0,0,0,0,9423,894,37,0,1105.763671875,284.7607421875,0.0,0.0,0.6000000238418579,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
923.6867065429688,0.0,-18.0,8.0,0.5,4294967041,False,False,False,True,0,0,0,0,0,0,0,9423,894,37,0,1105.763671875,284.7607421875,0.0,0.0,0.6000000238418579,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
869.6867065429688,18.0,-18.0,5.0,0.5,4294967041,False,False,False,True,0,0,0,0,0,0,0,9423,912,35,0,1105.763671875,284.7607421875,0.0,0.0,0.6000000238418579,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
815.6867065429688,27.0,-18.0,2.0,0.5,4294967041,False,False,False,True,0,0,0,0,0,0,0,9423,930,32,0,1105.763671875,284.7607421875,0.0,0.0,0.6000000238418579,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
761.6867065429688,29.0,-18.0,0.0,0.5,4294967041,False,False,False,False,0,0,0,0,0,0,0,9423,948,29,0,1097.2047119140625,293.1716613769531,8.559005737304688,8.410911560058594,0.6000000238418579,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,590,0,0
